               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10695,            0.061642,            0.038154,           0.0011931,              0.1553,           0.0011256,          0.00028632,             0.10061,            0.028347,            0.037253,              0.0883,              0.0013,              0.0013
                   1,             0.10411,            0.058431,            0.037981,           0.0017576,             0.19949,           0.0018276,          0.00041942,            0.098078,            0.029311,            0.037097,            0.075687,           0.0026866,           0.0026866
                   2,             0.10026,            0.066307,            0.037617,            0.002003,             0.20581,           0.0017548,          0.00035674,            0.095346,              0.0305,            0.036932,            0.063059,           0.0040594,           0.0040594
                   3,             0.09818,             0.06175,            0.037423,           0.0025926,            0.093434,           0.0017313,          0.00018882,            0.093238,            0.031206,            0.036777,            0.050418,           0.0054183,           0.0054183
                   4,             0.09651,            0.068303,            0.037011,            0.002788,             0.21717,           0.0022444,          0.00054846,            0.091401,            0.031947,            0.036575,            0.037763,           0.0067634,           0.0067634
                   5,            0.094936,            0.074514,            0.036602,           0.0024706,             0.19697,           0.0017844,          0.00047733,            0.090056,            0.033034,             0.03631,            0.025095,           0.0080946,           0.0080946
                   6,            0.094954,            0.070428,            0.036387,           0.0026839,             0.20328,           0.0023216,          0.00056779,            0.089731,            0.033846,            0.036081,            0.012412,           0.0094119,           0.0094119
                   7,            0.092587,            0.065851,            0.036204,           0.0021689,             0.17677,            0.004953,           0.0035247,            0.089798,            0.033446,            0.035788,           0.0096535,           0.0096535,           0.0096535
                   8,            0.092469,            0.071748,            0.035875,           0.0070267,            0.027778,           0.0051007,           0.0010146,            0.090473,            0.033072,            0.035641,           0.0096535,           0.0096535,           0.0096535
                   9,            0.091411,            0.071836,            0.035508,            0.003202,             0.19231,            0.002886,          0.00066673,             0.09695,            0.030784,            0.036575,            0.009604,            0.009604,            0.009604
                  10,              0.0909,            0.069364,            0.035433,            0.094333,            0.037879,            0.033596,           0.0051641,            0.096666,            0.031693,            0.036191,           0.0095545,           0.0095545,           0.0095545
                  11,            0.090058,            0.068793,            0.035083,           0.0028792,             0.20523,           0.0032897,          0.00077736,            0.096579,            0.034033,            0.037473,            0.009505,            0.009505,            0.009505
                  12,            0.090141,            0.069415,            0.034618,            0.022308,            0.013889,           0.0055801,             0.00165,            0.095678,            0.035496,            0.037152,           0.0094555,           0.0094555,           0.0094555
                  13,            0.090508,            0.072563,            0.034362,           0.0078437,            0.034091,           0.0027625,          0.00085235,            0.098878,            0.035561,            0.039844,            0.009406,            0.009406,            0.009406
                  14,            0.089728,            0.072106,            0.033939,            0.014643,             0.04798,           0.0063319,           0.0015049,            0.095211,            0.034213,            0.037802,           0.0093565,           0.0093565,           0.0093565
                  15,            0.090046,            0.074841,            0.033649,            0.036367,            0.027778,            0.015756,           0.0028043,            0.092714,            0.034877,            0.034488,            0.009307,            0.009307,            0.009307
                  16,            0.088411,            0.069447,            0.033436,           0.0039553,             0.26875,            0.007403,           0.0017195,            0.088654,            0.033962,            0.032854,           0.0092575,           0.0092575,           0.0092575
                  17,            0.088627,            0.072921,            0.033297,           0.0071389,             0.14336,           0.0093759,           0.0024135,            0.089227,            0.038404,            0.031664,            0.009208,            0.009208,            0.009208
                  18,            0.087303,            0.073651,            0.032756,           0.0033107,             0.22387,           0.0034187,          0.00069492,            0.089148,             0.04262,            0.031439,           0.0091585,           0.0091585,           0.0091585
                  19,            0.085939,            0.073472,            0.032797,           0.0082269,             0.19163,           0.0075009,           0.0016925,            0.089304,            0.035922,            0.032666,            0.009109,            0.009109,            0.009109
                  20,            0.086087,            0.072578,            0.032793,             0.43949,            0.013889,            0.023187,           0.0064789,             0.08854,            0.041898,            0.031696,           0.0090595,           0.0090595,           0.0090595
                  21,            0.085773,            0.073584,            0.032718,            0.003948,             0.28798,           0.0039583,          0.00096724,            0.087702,            0.042588,            0.030862,             0.00901,             0.00901,             0.00901
